USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
MA	2501721990	00618223	Everett city	F	8847752	636006	3.416	0.246	42.405938	-71.054649                                                                                                                   
MA	2501724960	02791559	Framingham city	F	64863272	3784599	25.044	1.461	42.307905	-71.436196                                                                                                             
MA	2501727480	00619399	Groton town	A	84884872	2608236	32.774	1.007	42.611636	-71.564743                                                                                                                 
MA	2501730700	00618225	Holliston town	A	48317298	1035601	18.655	0.4	42.195951	-71.45343                                                                                                                 
MA	2501731085	00619400	Hopkinton town	A	67924822	4218481	26.226	1.629	42.224096	-71.540489                                                                                                              
MA	2501731540	00618226	Hudson town	A	29857054	874321	11.528	0.338	42.389071	-71.545864                                                                                                                  
MA	2501735215	00619401	Lexington town	A	42561080	533688	16.433	0.206	42.445222	-71.230015                                                                                                               
MA	2501735425	00619402	Lincoln town	A	36851159	1951692	14.228	0.754	42.425506	-71.310812                                                                                                                
MA	2501735950	00619403	Littleton town	A	42775302	2578113	16.516	0.995	42.535931	-71.490569                                                                                                              
MA	2501737000	00618227	Lowell city	F	35251006	2379103	13.61	0.919	42.638995	-71.32102                                                                                                                   
MA	2501737875	00619404	Malden city	F	13065509	99337	5.045	0.038	42.42938	-71.058706                                                                                                                     
MA	2501738715	00618228	Marlborough city	F	54038662	3204061	20.864	1.237	42.349617	-71.547214                                                                                                            
MA	2501739625	00618229	Maynard town	A	13495144	403151	5.211	0.156	42.425955	-71.456256                                                                                                                  
MA	2501739835	00619405	Medford city	F	20973611	1449484	8.098	0.56	42.423844	-71.109231                                                                                                                  
MA	2501740115	00619406	Melrose city	F	12129681	219702	4.683	0.085	42.455723	-71.059019                                                                                                                  
MA	2501743895	00619407	Natick town	A	38742955	2594864	14.959	1.002	42.284822	-71.348811                                                                                                                 
MA	2501745560	00619408	Newton city	F	46173587	855929	17.828	0.33	42.331768	-71.2084                                                                                                                     
MA	2501748955	00618230	North Reading town	A	34075952	859059	13.157	0.332	42.578401	-71.084448                                                                                                           
MA	2501752805	00618231	Pepperell town	A	58462705	1527590	22.573	0.59	42.670643	-71.602858                                                                                                               
MA	2501756130	00618232	Reading town	A	25837458	36722	9.976	0.014	42.535183	-71.105423                                                                                                                   
MA	2501761380	00618233	Sherborn town	A	40890896	952549	15.788	0.368	42.231947	-71.372963                                                                                                                
MA	2501761590	00618234	Shirley town	A	40966099	204892	15.817	0.079	42.573654	-71.640986                                                                                                                 
MA	2501762535	00619409	Somerville city	F	10679355	258382	4.123	0.1	42.390445	-71.101033                                                                                                                 
