municipality,year,payt,svc_type,hh_total,hh_trash,hh_recycling,trash_tons,recyc_tons,bulky_incl,lbs_hh_yr,coverage
North Reading,2023,0,Curbside,5546.0,4470.0,4470.0,4279.49,1378.79,1,1914.7606263982102,0.8059862964298593
Northborough,2023,1,Curbside,5966.0,5039.0,5039.0,2113.0,928.7,1,838.6584639809486,0.8446195105598391
Northfield,2023,1,Drop-off,1235.0,783.0,783.0,372.5,,0,951.4687100893998,0.6340080971659919
Norwell,2023,1,Curbside,3702.0,3590.0,3590.0,2623.63,1373.73,1,1461.632311977716,0.9697460831982712
Norwood,2023,0,Curbside,12628.0,9711.0,9711.0,6380.09,3777.51,0,1313.9923797755123,0.7690053848590434
Oak Bluffs,2023,1,Both,4248.0,3186.0,4237.0,740.0,,0,464.5323289391086,0.75
Orange,2023,1,Drop-off,2892.0,1267.0,1267.0,446.34,,0,704.561957379637,0.4381051175656985
Orleans,2023,0,Drop-off,5370.0,3850.0,3850.0,1555.0,0.0,0,807.7922077922078,0.7169459962756052
Otis,2023,0,Drop-off,1750.0,1200.0,1200.0,576.09,,0,960.15,0.6857142857142857
Paxton,2023,0,Curbside,1610.0,1610.0,1610.0,1390.07,0.0,0,1726.7950310559006,1.0
Peabody,2023,0,Curbside,17363.0,14000.0,14000.0,16251.73,,1,2321.675714285714,0.8063122732246731
Pembroke,2023,0,Curbside,6841.0,6841.0,6841.0,5291.86,1669.82,1,1547.101300979389,1.0
Pepperell,2023,1,Drop-off,4240.0,1467.0,1467.0,684.48,0.0,0,933.1697341513293,0.34599056603773587
Peru,2023,1,Drop-off,380.0,237.0,237.0,163.01,,1,1375.6118143459917,0.6236842105263158
Petersham,2023,1,Drop-off,507.0,296.0,296.0,226.47,,1,1530.2027027027027,0.5838264299802761
Phillipston,2023,1,Drop-off,823.0,384.0,384.0,180.05,,0,937.7604166666666,0.4665856622114216
Pittsfield,2023,0,Curbside,19315.0,17409.0,17409.0,16396.0,,1,1883.6234131770923,0.9013202174475796
Plainfield,2023,1,Drop-off,308.0,195.0,195.0,70.33,,0,721.3333333333334,0.6331168831168831
